Codigo;Hijos;Sexo Jefe;Tipo Union;Edad Jefe;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Ingresos totales;Uso tecnologia Jefe;Edu Jefe;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7121820-1;0;1;4;59;3;1;3;1;1100000;0;0;1;4;1;32000;0
7121823-1;0;1;2;59;3;1;3;1;1875000;0;1;1;3;1;42000;0
7121825-1;2;2;4;35;3;3;3;1;2426666;2;3;1;5;2;80000;3
7121826-1;0;1;5;27;3;1;2;1;2000000;2;3;1;3;2;35000;0
7121827-1;3;2;5;34;3;5;1;2;305000;0;1;1;3;2;14000;0
7121828-1;0;1;5;61;3;1;1;1;80000;0;1;2;2;1;0;0
7121831-1;1;2;5;26;3;2;1;1;961500;2;1;1;2;1;15000;2
7121833-1;1;2;5;26;3;2;1;1;8275000;2;1;1;4;2;25000;2
7121834-1;0;2;5;49;3;1;2;1;1000000;2;1;1;3;1;15000;2
7121836-1;0;1;5;53;3;1;3;1;1320000;0;1;1;2;1;25000;0
7121837-1;1;2;4;41;3;2;3;1;200000;0;1;1;5;1;25000;0
7121839-1;0;2;5;76;3;3;3;1;565000;0;1;1;4;2;57000;0
7121840-1;1;2;3;93;3;2;3;5;2275000;0;0;1;4;2;92500;2
7121842-1;0;1;3;69;3;2;3;1;375000;0;1;1;3;2;70000;1
7121843-1;0;2;4;55;3;3;1;4;387500;2;1;1;5;1;30000;0
7121845-1;2;2;4;34;3;4;1;4;416666;2;1;1;3;3;12000;2
7121849-1;3;2;4;35;3;4;1;4;558333;1;3;1;3;1;27000;0
7121850-1;0;2;3;79;3;1;1;4;315000;0;1;1;3;1;19800;1
7121863-1;0;1;5;30;3;1;1;1;1179000;2;1;1;3;1;9000;2
7121864-1;3;1;2;49;3;4;1;1;1795000;0;1;1;5;4;18000;3
7121870-1;2;2;4;54;3;3;1;1;890000;0;1;1;3;2;5000;0
7121874-1;1;1;4;73;3;2;2;6;4600000;2;3;1;4;2;70000;1
7121875-1;0;1;5;14;3;1;1;3;164500;2;3;1;2;1;0;0
7121876-1;0;1;5;45;3;1;2;1;5265000;2;3;1;3;1;28000;1
7121877-1;3;2;2;34;3;4;1;4;60000;0;1;1;3;2;26000;0
7121878-1;2;2;4;22;3;3;1;4;623333;2;1;1;3;1;10000;0
7121879-1;0;1;5;35;3;1;1;1;400000;2;1;1;2;1;21000;0
7121880-1;1;2;2;22;3;6;1;4;1057500;1;1;1;3;2;32000;0
7121881-1;0;2;3;87;3;1;1;1;520000;0;0;1;2;1;18000;0
7121883-1;0;2;3;59;3;1;0;4;283333;0;0;1;3;1;0;0
7121889-1;4;2;4;32;3;5;1;4;845166;2;1;1;3;2;30000;0
7121893-1;2;2;4;47;3;3;1;4;853000;2;1;1;3;2;200000;0
7121896-1;0;1;5;26;3;1;1;1;1764166;2;3;1;3;1;15000;2
7121897-1;0;1;4;28;3;1;1;1;430000;2;1;2;2;1;35000;0
7121901-1;2;2;4;49;3;3;1;2;562500;0;1;1;4;3;80000;0
7121902-1;4;2;4;33;3;6;1;1;1402500;0;1;1;5;4;13100;0
7121903-1;0;1;4;53;3;1;1;1;600000;2;1;1;1;1;2700;0
7121904-1;0;1;5;49;3;4;1;1;635000;0;1;1;3;2;8000;0
7121905-1;3;2;2;26;3;4;1;4;718333;0;1;1;4;2;12000;0
7121907-1;0;2;4;40;3;3;2;4;190000;0;1;1;3;2;17000;0
7121914-1;0;1;5;38;3;1;1;1;1020000;0;1;1;3;1;1000;0
7121915-1;0;2;3;53;3;1;1;1;500000;0;1;1;3;2;10000;0
7121916-1;0;2;4;48;3;1;1;2;350000;0;1;1;2;1;32000;0
7121919-1;0;2;3;85;3;1;2;4;1016911;0;1;1;4;1;30000;1
7121920-1;1;2;4;58;3;2;2;1;4600000;2;3;1;6;2;43000;2
7121923-1;3;2;4;48;3;5;1;4;625000;2;1;1;4;3;35000;2
7121925-1;0;2;3;63;3;3;2;5;1300000;0;1;1;4;2;22800;2
7121927-1;0;2;3;80;3;2;2;4;1341666;0;1;1;4;2;23000;0
7121929-1;0;2;4;73;3;1;3;4;695000;0;1;1;2;1;21000;1
7121930-1;0;1;5;38;3;1;1;1;1600000;2;1;1;3;1;30000;1
7121932-1;0;1;2;28;3;1;2;1;950000;2;1;2;4;1;30000;1
7121933-1;2;2;3;36;3;3;1;1;1337666;2;3;1;3;2;15000;3
7121935-1;1;2;5;53;3;2;2;4;550000;2;1;1;4;2;22250;0
7121939-1;2;2;4;40;3;3;2;1;1389782;0;1;1;2;1;0;0
7121940-1;1;2;3;55;3;2;2;4;900000;0;1;1;3;2;28000;0
7121942-1;1;2;5;33;3;2;2;1;548000;2;1;1;2;1;31000;2
7121942-2;0;2;5;50;3;2;2;1;875616;2;1;1;3;2;38000;2
7121943-1;1;2;3;76;3;4;2;4;1048333;0;1;1;3;2;13000;0
7121944-1;0;1;5;40;3;1;2;1;4036333;2;3;1;1;1;0;0
7121946-1;1;2;5;67;3;3;3;4;75000;0;1;1;4;2;23000;0
7121949-1;1;2;4;61;3;3;3;6;4100000;0;1;1;4;3;75000;2
