DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P784S1A3;FEX_C
7124193;1;1;1;3;5,50558255412583
7124193;2;1;2;5;5,50558255412583
7124197;1;1;1;4;12,1487016083465
7124197;2;1;2;5;12,1487016083465
7124197;3;1;3;6;12,1487016083465
7124211;1;1;1;3;18,9267608851677
7124233;1;1;1;2;343,999090412494
7124233;2;1;2;3;343,999090412494
7124235;1;1;1;2;225,646206558974
7124244;1;1;1;3;436,644930569345
7124244;2;1;2;4;436,644930569345
7124253;1;1;1;2;280,781689488358
7124253;2;1;2;3;280,781689488358
7124253;3;1;3;4;280,781689488358
7124261;1;1;1;5;388,547717262252
7124268;1;1;1;5;259,083375407037
7124269;1;1;1;3;320,640451083278
7124269;2;1;2;4;320,640451083278
7124306;1;1;1;2;493,308087990393
7124319;1;1;1;3;475,183657824619
7124319;2;1;2;4;475,183657824619
7124319;3;1;3;5;475,183657824619
7124343;2;1;2;6;693,432691460667
7124343;1;1;1;5;693,432691460667
7124353;1;1;1;7;78,4459488969764
7124353;2;1;2;8;78,4459488969764
7124357;1;1;1;5;127,881600819917
7124361;1;1;1;4;97,9595215435737
7124361;2;1;2;5;97,9595215435737
7124365;1;1;1;3;281,74527578482
7124367;1;1;1;2;283,559239982851
7124367;2;1;2;2;283,559239982851
7124419;1;1;1;4;110,462241543178
7124420;1;1;1;3;108,888514598903
7124430;1;1;1;3;151,30608824037
7124444;1;1;1;4;129,044842311923
7124444;2;1;2;5;129,044842311923
7124449;1;1;1;4;153,41734039991
7124450;1;1;1;1;107,193031714064
7124452;1;1;1;2;160,277611981403
7124460;1;1;1;1;150,15556150364
7124466;1;1;1;3;369,928700361106
7124466;2;1;2;4;369,928700361106
7124470;1;1;1;3;565,271758199015
7124480;1;1;1;3;425,02247038619
7124487;1;1;1;3;629,736083225615
7124487;2;1;2;4;629,736083225615
7124487;3;1;3;5;629,736083225615
7124489;1;1;1;3;424,749078493871
7124499;1;1;1;1;531,057934889135
7124501;1;1;1;3;494,894031097136
7124514;1;1;1;3;145,459393015038
7124514;2;1;2;4;145,459393015038
7124514;3;1;3;5;145,459393015038
7124519;1;1;1;3;142,343039028792
7124524;1;1;1;2;145,459393015038
7124541;1;1;1;3;140,294702933806
7124552;1;1;1;3;172,966488876152
7124552;2;1;2;4;172,966488876152
7124556;1;1;1;2;98,3879120279041
7124560;1;1;1;3;158,621579825866
7124562;1;1;1;3;104,701049027194
7124562;2;1;2;4;104,701049027194
7124564;1;1;1;2;70,4285537452376
7124564;2;1;2;3;70,4285537452376
7124564;3;1;3;4;70,4285537452376
7124565;1;1;1;3;102,637165498322
7124565;2;1;2;4;102,637165498322
7124565;3;1;3;5;102,637165498322
7124566;1;1;1;2;63,2741268515245
7124566;2;1;2;3;63,2741268515245
7124573;1;1;1;8;181,112082718184
7124573;2;1;2;9;181,112082718184
7124573;3;1;3;10;181,112082718184
7124576;1;1;1;5;160,923551740591
7124579;1;1;1;3;141,053584110301
7124579;2;1;2;4;141,053584110301
7124585;1;1;1;3;112,833419513121
7124585;2;1;2;4;112,833419513121
7124585;3;1;3;5;112,833419513121
7124587;1;1;1;2;108,081856708677
7124606;1;1;1;1;1474,48452788169
7124606;2;1;2;2;1474,48452788169
7124606;3;1;3;3;1474,48452788169
7124606;4;1;4;4;1474,48452788169
7124814;1;1;1;3;37,8818168548317
7124819;1;1;1;5;38,4740751450812
7124824;1;1;1;3;62,1319248111268
7124824;2;1;2;4;62,1319248111268
7124825;1;1;1;3;57,00053274505
7124826;1;1;1;3;82,3520214423598
7124826;2;1;2;4;82,3520214423598
7124827;1;1;1;2;68,0915380216342
7124830;1;1;1;3;107,812834713009
7124830;2;1;2;4;107,812834713009
7124830;3;1;3;5;107,812834713009
7124833;1;1;1;4;72,6093622250113
7124833;2;1;2;5;72,6093622250113
7124833;3;1;3;6;72,6093622250113
7124846;1;1;1;4;109,555904756502
7124847;1;1;1;3;97,7498404093446
7124848;1;1;1;3;118,232401412068
7124855;1;1;1;2;105,975652948276
7124856;1;1;1;3;128,051066416319
7124856;2;1;2;4;128,051066416319
7124857;1;1;1;3;140,556280154039
7124863;1;1;1;3;134,852702601029
7124863;2;1;2;4;134,852702601029
7124864;1;1;1;2;64,6905642574027
7124864;2;1;2;3;64,6905642574027
7124864;3;1;3;4;64,6905642574027
7124865;1;1;1;3;39,0917082358365
7124871;1;1;1;3;63,1092609038834
7124871;2;1;2;4;63,1092609038834
7124873;1;1;1;3;37,3327705130207
7124873;2;1;2;5;37,3327705130207
7124873;3;1;3;6;37,3327705130207
7124878;1;1;1;3;8,07630643610704
